A. Raven Cruz
Aaron Hann
Aaron Schneider
Aaron Seltzer
Abel Ferrara
Adam Brooks
Adam Carolla
Adam Goldberg
Adam Green
Adam Jay Epstein
Adam Marcus
Adam McKay
Adam Rapp
Adam Rifkin
Adam Shankman
Adrian Lyne
Adrienne Shelly
Agnieszka Holland
Agnieszka Wojtowicz-Vosloo
Agustín Díaz Yanes
Aki Kaurismäki
Akira Kurosawa
Akiva Goldsman
Akiva Schaffer
Al Franklin
Al Silliman Jr.
Alain Resnais
Alan Alda
Alan Cohn
Alan J. Pakula
Alan Jacobs
Alan Metter
Alan Parker
Alan Poul
Alan Rudolph
Alan Shapiro
Alan Taylor
Alan Yuen
Albert Brooks
Albert Hughes
Alec Asten
Alejandro Agresti
Alejandro Amenábar
Alejandro G. Iñárritu
Alejandro Monteverde
Aleksandr Veledinskiy
Aleksey German
Alessandro Carloni
Alex Cox
Alex Craig Mann
Alex Garland
Alex Gibney
Alex Kendrick
Alex Proyas
Alex Ranarivelo
Alex Rivera
Alex Smith
Alex Zamm
Alex van Warmerdam
Alexander Payne
Alexander Witt
Alexandre Aja
Alfonso Cuarón
Alfred Hitchcock
Alice Wu
Alison Maclean
Alister Grierson
Allan Arkush
Allan Dwan
Allen Coulter
Allen Hughes
Allison Anders
Allison Burnett
Amal Al-Agroobi
Amanda Gusack
Amat Escalante
Amy Heckerling
Amy Holden Jones
Analeine Cal y Mayor
Anand Tucker
Andrea Arnold
Andrea Di Stefano
Andrei Tarkovsky
Andrew Adamson
Andrew Berends
Andrew Bergman
Andrew Bujalski
Andrew Currie
Andrew Davis
Andrew Dominik
Andrew Douglas
Andrew Erwin
Andrew Fleming
Andrew Haigh
Andrew Hyatt
Andrew Jarecki
Andrew Leman
Andrew Morahan
Andrew Niccol
Andrew Stanton
Andrew Steggall
Andrew Traucki
Andrew Wilson
Andrey Konchalovskiy
Andrey Zvyagintsev
Andrucha Waddington
Andrzej Bartkowiak
André Téchiné
André Øvredal
Andrés Couturier
Andrés Muschietti
Andy Cadiff
Andy Fickman
Andy Garcia
Andy Tennant
Ang Lee
Angela Robinson
Angelina Jolie Pitt
Angelo Pizzo
Anna Boden
